area,time,流计算,移动互联,第三方支付,在线支付,移动支付
广西,2020-07-21,0,0,124,57,115
广西,2020-07-22,0,57,115,57,114
广西,2020-07-23,57,0,117,0,57
广西,2020-07-24,0,0,0,0,114
广西,2020-07-25,0,0,58,0,58
广西,2020-07-26,57,0,63,0,0
广西,2020-07-27,0,57,117,57,114
广西,2020-07-28,0,114,0,0,0
广西,2020-07-29,0,0,63,0,58
广西,2020-07-30,0,0,117,0,117
广西,2020-07-31,57,0,117,57,57
广西,2020-08-01,0,0,57,0,117
广西,2020-08-02,0,0,120,0,57
广西,2020-08-03,57,0,119,57,58
广西,2020-08-04,0,0,63,0,0
广西,2020-08-05,0,57,120,0,61
广西,2020-08-06,0,0,115,0,114
广西,2020-08-07,57,0,57,0,58
广西,2020-08-08,0,0,0,0,60
广西,2020-08-09,0,0,121,0,57
广西,2020-08-10,0,0,58,57,58
广西,2020-08-11,0,57,63,0,60
广西,2020-08-12,0,0,121,0,57
广西,2020-08-13,57,0,119,0,114
广西,2020-08-14,0,0,68,0,60
广西,2020-08-15,0,0,117,0,60
广西,2020-08-16,0,0,61,0,119
广西,2020-08-17,0,0,120,58,0
广西,2020-08-18,0,0,116,58,115
广西,2020-08-19,0,0,117,0,0
广西,2020-08-20,0,57,121,0,58
广西,2020-08-21,0,0,58,59,118
广西,2020-08-22,0,0,63,0,57
广西,2020-08-23,0,0,0,57,0
广西,2020-08-24,57,0,0,57,58
广西,2020-08-25,0,0,117,0,119
广西,2020-08-26,57,57,120,0,0
广西,2020-08-27,0,0,117,0,118
广西,2020-08-28,0,60,57,0,58
广西,2020-08-29,0,0,57,0,118
广西,2020-08-30,0,0,57,0,61
广西,2020-08-31,57,0,0,114,118
广西,2020-09-01,57,0,115,0,59
广西,2020-09-02,0,0,57,57,118
广西,2020-09-03,57,57,118,0,58
广西,2020-09-04,0,0,124,57,0
广西,2020-09-05,0,0,119,58,0
广西,2020-09-06,0,0,57,0,57
广西,2020-09-07,0,0,119,115,115
广西,2020-09-08,0,0,122,57,117
广西,2020-09-09,0,57,59,0,119
广西,2020-09-10,0,0,127,57,124
广西,2020-09-11,0,0,0,61,61
广西,2020-09-12,0,0,118,0,60
广西,2020-09-13,0,0,117,0,0
广西,2020-09-14,0,0,57,0,114
广西,2020-09-15,57,0,0,0,58
广西,2020-09-16,0,0,59,58,57
广西,2020-09-17,0,0,114,58,121
广西,2020-09-18,0,0,61,57,115
广西,2020-09-19,0,0,57,57,60
广西,2020-09-20,0,0,57,58,120
广西,2020-09-21,0,0,57,60,120
广西,2020-09-22,0,57,59,57,117
广西,2020-09-23,0,0,57,0,115
广西,2020-09-24,0,0,117,0,120
广西,2020-09-25,57,0,59,57,119
广西,2020-09-26,0,57,126,0,57
广西,2020-09-27,0,57,122,0,59
广西,2020-09-28,0,57,128,0,57
广西,2020-09-29,0,0,57,0,61
广西,2020-09-30,0,0,114,115,0
广西,2020-10-01,57,0,117,0,0
广西,2020-10-02,0,0,57,115,58
广西,2020-10-03,0,0,114,60,58
广西,2020-10-04,0,0,57,61,57
广西,2020-10-05,0,0,120,63,57
广西,2020-10-06,0,0,57,59,57
广西,2020-10-07,0,0,119,57,58
广西,2020-10-08,0,0,61,60,114
广西,2020-10-09,0,0,216,57,118
广西,2020-10-10,57,0,132,0,143
广西,2020-10-11,0,0,114,0,57
广西,2020-10-12,0,0,117,57,118
广西,2020-10-13,0,57,58,58,122
广西,2020-10-14,0,0,65,0,114
广西,2020-10-15,0,57,63,0,149
广西,2020-10-16,0,0,118,0,144
广西,2020-10-17,0,0,123,0,124
广西,2020-10-18,0,0,0,0,59
广西,2020-10-19,0,57,78,57,115
广西,2020-10-20,0,65,65,0,0
广西,2020-10-21,0,0,122,114,57
广西,2020-10-22,0,0,59,0,116
广西,2020-10-23,0,63,57,0,121
广西,2020-10-24,0,67,115,57,63
广西,2020-10-25,0,0,57,0,119
广西,2020-10-26,0,0,57,0,117
广西,2020-10-27,0,69,58,57,115
广西,2020-10-28,0,0,116,0,122
广西,2020-10-29,0,0,126,0,116
广西,2020-10-30,58,118,125,0,61
广西,2020-10-31,0,0,58,0,115
广西,2020-11-01,0,0,124,0,117
广西,2020-11-02,0,65,118,57,115
广西,2020-11-03,0,57,119,0,59
广西,2020-11-04,0,0,123,0,58
广西,2020-11-05,0,57,61,58,124
广西,2020-11-06,0,67,122,0,119
广西,2020-11-07,0,0,57,57,57
广西,2020-11-08,0,0,57,0,119
广西,2020-11-09,0,0,122,0,61
广西,2020-11-10,0,0,120,59,126
广西,2020-11-11,0,0,124,0,127
广西,2020-11-12,57,0,129,0,119
广西,2020-11-13,59,0,117,57,59
广西,2020-11-14,0,0,117,0,60
广西,2020-11-15,0,70,121,57,131
广西,2020-11-16,0,0,129,0,129
广西,2020-11-17,61,57,117,0,122
广西,2020-11-18,0,0,61,0,124
广西,2020-11-19,0,0,114,57,59
广西,2020-11-20,0,57,128,0,125
广西,2020-11-21,0,0,61,57,118
广西,2020-11-22,0,0,119,0,124
广西,2020-11-23,0,0,120,114,148
广西,2020-11-24,0,57,115,0,126
广西,2020-11-25,0,0,120,0,70
广西,2020-11-26,0,0,126,0,118
广西,2020-11-27,57,0,123,57,122
广西,2020-11-28,0,0,61,0,122
广西,2020-11-29,0,0,121,0,131
广西,2020-11-30,0,0,123,57,122
广西,2020-12-01,0,0,131,57,58
广西,2020-12-02,0,0,124,0,127
广西,2020-12-03,0,0,124,0,126
广西,2020-12-04,0,0,61,57,125
广西,2020-12-05,0,0,130,0,121
广西,2020-12-06,0,0,57,0,124
广西,2020-12-07,57,57,119,0,117
广西,2020-12-08,0,57,121,0,126
广西,2020-12-09,57,0,117,57,122
广西,2020-12-10,0,57,124,0,120
广西,2020-12-11,0,0,118,0,136
广西,2020-12-12,0,0,57,0,123
广西,2020-12-13,0,0,79,0,122
广西,2020-12-14,0,0,127,0,61
广西,2020-12-15,0,57,115,58,120
广西,2020-12-16,0,0,129,57,118
广西,2020-12-17,0,0,114,57,117
广西,2020-12-18,0,65,118,0,114
广西,2020-12-19,0,0,57,58,122
广西,2020-12-20,57,0,57,0,128
广西,2020-12-21,0,0,138,58,63
广西,2020-12-22,57,0,57,0,124
广西,2020-12-23,0,0,118,0,58
广西,2020-12-24,0,0,116,0,117
广西,2020-12-25,0,0,70,57,123
广西,2020-12-26,0,0,117,0,115
广西,2020-12-27,0,0,115,0,115
广西,2020-12-28,0,0,117,0,120
广西,2020-12-29,0,57,128,0,61
广西,2020-12-30,0,0,124,57,0
广西,2020-12-31,0,0,57,0,60
广西,2021-01-01,0,0,0,0,57
广西,2021-01-02,0,57,114,0,57
广西,2021-01-03,0,0,0,0,115
广西,2021-01-04,0,0,117,0,59
广西,2021-01-05,59,57,119,0,126
广西,2021-01-06,0,0,118,0,118
广西,2021-01-07,0,0,120,0,122
广西,2021-01-08,0,0,119,0,116
广西,2021-01-09,0,57,57,0,119
广西,2021-01-10,0,0,115,0,65
广西,2021-01-11,0,0,123,0,57
广西,2021-01-12,0,57,119,0,115
广西,2021-01-13,0,0,60,0,122
广西,2021-01-14,114,0,125,0,124
广西,2021-01-15,0,0,121,0,61
广西,2021-01-16,0,0,61,0,0
广西,2021-01-17,57,0,114,0,60
广西,2021-01-18,0,0,0,0,57
广西,2021-01-19,0,0,118,0,63
广西,2021-01-20,0,0,61,0,0
广西,2021-01-21,57,0,115,57,57
广西,2021-01-22,0,0,120,0,57
广西,2021-01-23,0,0,57,0,57
广西,2021-01-24,57,0,0,0,57
广西,2021-01-25,0,0,57,0,0
广西,2021-01-26,0,0,114,0,61
广西,2021-01-27,0,0,117,0,0
广西,2021-01-28,0,0,59,0,59
广西,2021-01-29,0,0,59,0,58
广西,2021-01-30,0,0,57,0,0
广西,2021-01-31,0,0,57,57,61
广西,2021-02-01,0,57,63,0,57
广西,2021-02-02,0,0,60,0,59
广西,2021-02-03,0,0,119,0,115
广西,2021-02-04,0,0,67,0,57
广西,2021-02-05,0,0,0,0,114
广西,2021-02-06,0,0,57,0,58
广西,2021-02-07,0,0,57,0,115
广西,2021-02-08,0,0,118,0,57
广西,2021-02-09,0,0,0,0,115
广西,2021-02-10,0,0,0,0,0
广西,2021-02-11,0,0,0,0,0
广西,2021-02-12,0,0,57,0,60
广西,2021-02-13,0,0,0,57,0
广西,2021-02-14,0,0,57,0,0
广西,2021-02-15,0,0,57,0,0
广西,2021-02-16,0,0,57,0,60
广西,2021-02-17,0,0,0,0,57
广西,2021-02-18,0,57,0,0,57
广西,2021-02-19,0,0,63,57,114
广西,2021-02-20,0,0,0,0,57
广西,2021-02-21,0,0,114,0,0
广西,2021-02-22,0,0,119,0,58
广西,2021-02-23,0,0,57,0,0
广西,2021-02-24,57,0,117,0,0
广西,2021-02-25,0,0,123,0,115
广西,2021-02-26,0,0,58,0,0
广西,2021-02-27,0,0,0,0,57
广西,2021-02-28,0,0,115,0,114
广西,2021-03-01,0,57,58,0,57
广西,2021-03-02,0,57,57,59,117
广西,2021-03-03,0,0,116,57,58
广西,2021-03-04,0,0,128,0,118
广西,2021-03-05,0,57,57,57,57
广西,2021-03-06,0,0,0,0,126
广西,2021-03-07,0,0,117,0,0
广西,2021-03-08,0,0,119,0,57
广西,2021-03-09,57,0,120,0,61
广西,2021-03-10,0,0,57,0,117
广西,2021-03-11,0,0,58,0,61
广西,2021-03-12,0,58,57,0,59
广西,2021-03-13,0,0,60,0,117
广西,2021-03-14,59,0,57,0,57
广西,2021-03-15,0,59,118,0,57
广西,2021-03-16,0,0,116,0,60
广西,2021-03-17,0,0,116,0,120
广西,2021-03-18,0,0,57,0,57
广西,2021-03-19,57,0,59,57,58
广西,2021-03-20,0,57,63,0,57
广西,2021-03-21,0,0,57,0,63
广西,2021-03-22,59,0,125,0,115
广西,2021-03-23,0,57,117,0,0
广西,2021-03-24,0,0,58,0,58
广西,2021-03-25,0,0,121,0,119
广西,2021-03-26,0,114,59,0,60
广西,2021-03-27,0,0,60,0,60
广西,2021-03-28,0,0,115,57,117
广西,2021-03-29,0,0,122,57,57
广西,2021-03-30,0,0,123,0,67
广西,2021-03-31,0,0,127,57,118
广西,2021-04-01,0,0,117,0,0
广西,2021-04-02,0,0,64,0,114
广西,2021-04-03,0,0,117,0,57
广西,2021-04-04,0,0,57,0,57
广西,2021-04-05,0,0,0,0,123
广西,2021-04-06,0,57,127,0,115
广西,2021-04-07,0,0,67,0,127
广西,2021-04-08,0,0,122,0,128
广西,2021-04-09,0,57,122,57,118
广西,2021-04-10,0,0,120,0,58
广西,2021-04-11,0,0,119,0,59
广西,2021-04-12,0,0,123,57,59
广西,2021-04-13,0,0,120,0,115
广西,2021-04-14,0,0,0,0,58
广西,2021-04-15,0,0,120,0,116
广西,2021-04-16,0,0,122,0,60
广西,2021-04-17,57,57,57,59,130
广西,2021-04-18,0,0,116,58,122
广西,2021-04-19,0,0,0,0,61
广西,2021-04-20,57,57,118,0,63
广西,2021-04-21,57,0,124,0,118
广西,2021-04-22,0,0,122,59,61
广西,2021-04-23,0,61,63,0,60
广西,2021-04-24,0,0,67,0,0
广西,2021-04-25,0,0,0,0,117
广西,2021-04-26,0,0,122,59,118
广西,2021-04-27,0,0,60,0,61
广西,2021-04-28,0,0,58,0,124
广西,2021-04-29,0,57,123,0,0
广西,2021-04-30,0,0,65,0,61
广西,2021-05-01,0,0,0,0,60
广西,2021-05-02,0,57,0,0,0
广西,2021-05-03,0,57,123,0,0
广西,2021-05-04,0,57,124,0,63
广西,2021-05-05,0,57,117,0,0
广西,2021-05-06,0,57,122,0,114
广西,2021-05-07,0,0,57,0,60
广西,2021-05-08,0,123,118,0,65
广西,2021-05-09,0,60,0,57,117
广西,2021-05-10,57,57,114,57,117
广西,2021-05-11,0,0,116,61,126
广西,2021-05-12,0,0,115,0,126
广西,2021-05-13,0,0,118,58,57
广西,2021-05-14,0,0,121,60,61
广西,2021-05-15,0,0,0,0,119
广西,2021-05-16,0,57,58,0,0
广西,2021-05-17,0,58,114,114,122
广西,2021-05-18,0,0,114,57,118
广西,2021-05-19,0,0,58,67,0
广西,2021-05-20,0,0,126,57,118
广西,2021-05-21,0,0,61,0,117
广西,2021-05-22,0,0,114,0,0
广西,2021-05-23,0,0,58,0,58
广西,2021-05-24,0,0,122,0,58
广西,2021-05-25,57,0,118,0,124
广西,2021-05-26,0,0,117,57,128
广西,2021-05-27,0,0,0,57,57
广西,2021-05-28,0,0,61,0,0
广西,2021-05-29,0,0,0,0,118
广西,2021-05-30,0,0,117,0,61
广西,2021-05-31,0,0,58,0,60
广西,2021-06-01,0,0,65,57,0
广西,2021-06-02,0,0,57,0,57
广西,2021-06-03,0,0,122,0,122
广西,2021-06-04,57,0,119,0,57
广西,2021-06-05,0,0,0,0,115
广西,2021-06-06,0,0,118,0,122
广西,2021-06-07,0,0,60,0,116
广西,2021-06-08,0,0,122,0,118
广西,2021-06-09,57,57,57,0,117
广西,2021-06-10,57,0,120,0,57
广西,2021-06-11,0,0,58,0,58
广西,2021-06-12,0,0,119,0,119
广西,2021-06-13,0,0,60,57,65
广西,2021-06-14,0,0,0,0,119
广西,2021-06-15,0,0,0,0,122
广西,2021-06-16,0,0,126,0,126
广西,2021-06-17,57,0,63,0,120
广西,2021-06-18,0,0,57,57,61
广西,2021-06-19,0,57,0,0,59
广西,2021-06-20,0,0,61,0,114
广西,2021-06-21,0,0,65,57,0
广西,2021-06-22,0,0,117,0,61
广西,2021-06-23,0,0,58,57,61
广西,2021-06-24,59,57,127,0,57
广西,2021-06-25,57,0,128,0,57
广西,2021-06-26,0,0,65,0,60
广西,2021-06-27,0,57,66,0,0
广西,2021-06-28,0,0,0,0,63
广西,2021-06-29,0,0,114,57,60
广西,2021-06-30,0,0,114,0,61
广西,2021-07-01,0,0,61,0,122
广西,2021-07-02,0,0,60,58,57
广西,2021-07-03,0,0,120,0,0
广西,2021-07-04,0,0,117,0,57
广西,2021-07-05,0,0,119,0,60
广西,2021-07-06,0,0,59,0,60
广西,2021-07-07,0,0,122,0,143
广西,2021-07-08,0,0,118,0,0
广西,2021-07-09,0,0,58,57,0
广西,2021-07-10,0,57,116,0,57
广西,2021-07-11,0,0,57,0,0
广西,2021-07-12,0,0,58,0,118
广西,2021-07-13,0,0,60,0,57
广西,2021-07-14,0,0,114,0,57
广西,2021-07-15,0,0,60,0,57
广西,2021-07-16,0,0,117,0,117
广西,2021-07-17,0,0,57,0,114
广西,2021-07-18,0,0,58,0,117
广西,2021-07-19,0,0,0,57,119
广西,2021-07-20,0,0,57,57,114
广西,2021-07-21,0,0,57,0,58
广西,2021-07-22,0,0,59,0,61
广西,2021-07-23,0,0,59,0,60
广西,2021-07-24,0,0,57,0,60
广西,2021-07-25,57,0,0,0,57
广西,2021-07-26,0,0,0,0,57
广西,2021-07-27,0,0,0,0,115
广西,2021-07-28,0,57,120,0,114
广西,2021-07-29,0,0,0,0,117
广西,2021-07-30,0,0,0,57,0
广西,2021-07-31,0,57,122,0,58
广西,2021-08-01,0,0,57,0,58
广西,2021-08-02,0,0,57,0,57
广西,2021-08-03,0,0,58,0,0
广西,2021-08-04,0,0,117,0,60
广西,2021-08-05,0,0,0,0,117
广西,2021-08-06,0,0,115,0,59
广西,2021-08-07,0,0,0,0,0
广西,2021-08-08,0,0,0,0,115
广西,2021-08-09,0,0,0,0,122
广西,2021-08-10,0,0,117,0,65
广西,2021-08-11,0,0,114,0,117
广西,2021-08-12,0,0,57,0,66
广西,2021-08-13,0,0,58,0,0
广西,2021-08-14,0,57,0,0,118
广西,2021-08-15,0,0,0,0,57
广西,2021-08-16,0,57,57,57,57
广西,2021-08-17,0,0,115,57,115
广西,2021-08-18,0,0,117,0,57
广西,2021-08-19,0,0,0,0,0
广西,2021-08-20,0,0,114,0,0
广西,2021-08-21,0,0,57,0,58
广西,2021-08-22,0,0,58,0,58
广西,2021-08-23,0,0,0,57,59
广西,2021-08-24,0,0,61,0,58
广西,2021-08-25,0,0,114,0,115
广西,2021-08-26,0,0,0,0,57
广西,2021-08-27,0,0,57,0,115
广西,2021-08-28,0,0,65,0,65
广西,2021-08-29,0,0,60,0,117
广西,2021-08-30,0,0,57,0,57
广西,2021-08-31,0,0,74,115,63
广西,2021-09-01,0,0,65,0,114
广西,2021-09-02,0,0,59,0,118
广西,2021-09-03,0,57,0,0,118
广西,2021-09-04,0,0,57,57,0
广西,2021-09-05,0,0,57,0,0
广西,2021-09-06,0,0,117,0,0
广西,2021-09-07,0,0,59,0,58
广西,2021-09-08,0,0,57,0,60
广西,2021-09-09,0,0,118,0,65
广西,2021-09-10,0,0,61,0,58
广西,2021-09-11,0,0,57,0,0
广西,2021-09-12,0,0,114,0,0
广西,2021-09-13,0,0,59,57,124
广西,2021-09-14,0,0,115,57,0
广西,2021-09-15,0,0,58,0,0
广西,2021-09-16,0,58,133,0,57
广西,2021-09-17,0,0,61,57,58
广西,2021-09-18,0,0,57,0,0
广西,2021-09-19,0,0,0,0,0
广西,2021-09-20,0,0,57,0,57
广西,2021-09-21,0,0,58,0,0
广西,2021-09-22,0,0,115,0,57
广西,2021-09-23,0,0,0,0,59
广西,2021-09-24,0,0,61,0,58
广西,2021-09-25,0,0,0,0,0
广西,2021-09-26,0,0,114,0,115
广西,2021-09-27,0,0,57,0,60
广西,2021-09-28,0,66,58,57,120
广西,2021-09-29,0,0,57,58,117
广西,2021-09-30,0,0,115,0,57
广西,2021-10-01,0,0,57,0,58
广西,2021-10-02,0,0,0,57,57
广西,2021-10-03,0,0,114,0,57
广西,2021-10-04,0,0,0,0,60
广西,2021-10-05,0,0,57,0,58
广西,2021-10-06,0,0,0,0,57
广西,2021-10-07,0,0,114,57,63
广西,2021-10-08,57,57,60,57,118
广西,2021-10-09,0,0,60,0,117
广西,2021-10-10,0,57,119,57,114
广西,2021-10-11,0,0,66,0,60
广西,2021-10-12,0,0,58,0,63
广西,2021-10-13,0,0,122,0,0
广西,2021-10-14,0,60,57,0,0
广西,2021-10-15,0,0,60,0,114
广西,2021-10-16,0,0,60,0,0
广西,2021-10-17,0,0,0,0,117
广西,2021-10-18,0,58,117,57,127
广西,2021-10-19,0,66,117,59,60
广西,2021-10-20,0,0,131,0,58
广西,2021-10-21,0,0,58,0,0
广西,2021-10-22,0,0,57,0,66
广西,2021-10-23,0,0,57,0,58
广西,2021-10-24,0,59,58,57,66
广西,2021-10-25,0,57,57,0,59
广西,2021-10-26,0,58,119,60,57
广西,2021-10-27,117,57,119,0,0
广西,2021-10-28,0,0,122,0,116
广西,2021-10-29,0,0,59,57,57
广西,2021-10-30,0,0,61,57,118
广西,2021-10-31,0,0,0,0,120
广西,2021-11-01,0,0,57,0,63
广西,2021-11-02,0,0,114,57,114
广西,2021-11-03,0,0,0,0,57
广西,2021-11-04,0,0,57,0,66
广西,2021-11-05,0,0,60,0,58
广西,2021-11-06,0,0,58,0,57
广西,2021-11-07,0,0,122,57,57
广西,2021-11-08,0,57,122,0,115
广西,2021-11-09,0,0,0,57,57
广西,2021-11-10,0,73,57,0,126
广西,2021-11-11,0,0,127,57,118
广西,2021-11-12,0,0,60,0,58
广西,2021-11-13,0,0,78,0,57
广西,2021-11-14,0,0,57,0,58
广西,2021-11-15,57,57,0,57,117
广西,2021-11-16,0,0,57,0,121
广西,2021-11-17,0,0,118,0,69
广西,2021-11-18,0,0,57,57,61
广西,2021-11-19,0,0,120,0,58
广西,2021-11-20,0,0,114,57,115
广西,2021-11-21,0,0,0,0,118
广西,2021-11-22,0,0,65,0,79
广西,2021-11-23,0,0,124,57,0
广西,2021-11-24,0,57,122,0,59
广西,2021-11-25,0,0,64,0,57
广西,2021-11-26,0,0,116,0,57
广西,2021-11-27,0,0,60,0,58
广西,2021-11-28,0,57,117,0,127
广西,2021-11-29,0,0,60,57,126
广西,2021-11-30,0,0,57,0,118
广西,2021-12-01,0,0,65,0,118
广西,2021-12-02,0,0,114,0,58
广西,2021-12-03,0,60,0,0,60
广西,2021-12-04,0,0,0,0,60
广西,2021-12-05,0,0,58,57,117
广西,2021-12-06,0,0,124,57,61
广西,2021-12-07,0,0,65,0,123
广西,2021-12-08,0,0,60,0,0
广西,2021-12-09,0,0,120,0,61
广西,2021-12-10,0,0,114,0,57
广西,2021-12-11,57,0,60,0,115
广西,2021-12-12,0,0,60,57,0
广西,2021-12-13,0,57,117,58,63
广西,2021-12-14,0,0,61,0,122
广西,2021-12-15,0,0,57,0,126
广西,2021-12-16,0,0,115,0,66
广西,2021-12-17,0,0,122,0,123
广西,2021-12-18,0,0,60,0,122
广西,2021-12-19,0,0,59,57,60
广西,2021-12-20,0,0,57,0,114
广西,2021-12-21,0,0,115,0,58
广西,2021-12-22,0,0,117,60,0
广西,2021-12-23,0,59,66,57,115
广西,2021-12-24,0,0,67,57,63
广西,2021-12-25,0,57,60,0,0
广西,2021-12-26,0,0,114,57,117
广西,2021-12-27,0,0,57,0,58
广西,2021-12-28,0,57,63,0,135
广西,2021-12-29,0,59,115,0,61
广西,2021-12-30,0,0,63,57,0
广西,2021-12-31,0,0,58,0,60
